"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LOC114676301",3.73133335003339e-43,4.59278155847092,0.248,0.386,1.11940000501002e-39
"ITPKC",4.36815329889227e-43,5.97590417792697,0.276,0.452,1.31044598966768e-39
"C6H5orf22",4.52344398210463e-43,0.539906206655547,0.238,0.341,1.35703319463139e-39
"LOC114678885",5.67285561599934e-43,6.26530816120258,0.164,0.258,1.7018566847998e-39
"CENPE",6.44548062313885e-43,4.98241015764432,0.177,0.22,1.93364418694166e-39
"NPHP4",8.13173918383514e-43,1.65460381647324,0.221,0.304,2.43952175515054e-39
"ETS2",1.00764601669331e-42,6.07505515941282,0.26,0.373,3.02293805007994e-39
"ATAD5",1.0576540999199e-42,2.51451303738737,0.261,0.346,3.17296229975971e-39
"HIKESHI",1.06924973068766e-42,4.86371579752378,0.278,0.421,3.20774919206297e-39
"PRKCZ",1.31561795489215e-42,1.35212549022124,0.289,0.408,3.94685386467644e-39
"ST3GAL5",1.31988485521914e-42,2.18899235017319,0.155,0.186,3.95965456565742e-39
"HOMER1",1.56595131568418e-42,3.05606625503288,0.247,0.374,4.69785394705254e-39
"LOC106992676",1.71404952761746e-42,0.286151621298461,0.143,0.211,5.14214858285238e-39
"ENDOD1",1.71926396594855e-42,7.78082784875745,0.259,0.382,5.15779189784565e-39
"GIPC2",1.83554053745964e-42,1.08877311651153,0.13,0.181,5.50662161237891e-39
"LMO7",1.93541780270558e-42,10.7375388710414,0.141,0.181,5.80625340811674e-39
"LOC114670379",2.22686802238702e-42,2.89208351659184,0.3,0.436,6.68060406716107e-39
"FLYWCH1",2.29342667591001e-42,-1.07550785926346,0.366,0.514,6.88028002773003e-39
"LOC106992658",2.36983256403164e-42,2.49213682860125,0.286,0.406,7.10949769209493e-39
"C1H1orf159",2.73884448099323e-42,1.15008107089498,0.272,0.399,8.2165334429797e-39
"KIF20B",2.92132191325388e-42,1.46608327630416,0.316,0.387,8.76396573976164e-39
"HECW2",3.22266905513554e-42,-1.52230160526291,0.21,0.332,9.66800716540663e-39
"LMNA",4.09638495116571e-42,4.1229928170112,0.189,0.247,1.22891548534971e-38
"MAPT",4.17178122821149e-42,3.89885481903228,0.379,0.56,1.25153436846345e-38
"MIR155HG",4.24317508755078e-42,5.95894902667718,0.239,0.321,1.27295252626523e-38
"KIF18A",4.437392146817e-42,3.75913577360394,0.146,0.194,1.3312176440451e-38
"WDR62",4.47649822684653e-42,1.26347926586642,0.199,0.301,1.34294946805396e-38
"DNAJC6",5.17858073463592e-42,6.07811440310987,0.131,0.261,1.55357422039078e-38
"MBLAC2",6.22547444355157e-42,3.67954625121046,0.211,0.341,1.86764233306547e-38
"BCAS4",6.89975815265774e-42,7.51759629211487,0.253,0.323,2.06992744579732e-38
"ERG28",7.25271806470619e-42,6.31511008999523,0.243,0.373,2.17581541941186e-38
"CNGA3",7.43190006464251e-42,3.10938196292931,0.241,0.366,2.22957001939275e-38
"LIG1",8.50275761811776e-42,0.355426867119598,0.215,0.284,2.55082728543533e-38
"PRELID2",9.10014083573532e-42,4.06155981080696,0.249,0.313,2.73004225072059e-38
"MCC",1.17451901939375e-41,1.96975722108173,0.167,0.212,3.52355705818125e-38
"SPON1",1.21778222227684e-41,2.26011030212921,0.178,0.27,3.65334666683053e-38
"ZNF540",1.49612363330946e-41,3.2464522654155,0.276,0.388,4.48837089992838e-38
"FAM149B1",1.53101193871844e-41,8.93856183822141,0.356,0.506,4.59303581615533e-38
"LOC701826",1.69533844675868e-41,0.469284050714499,0.144,0.213,5.08601534027605e-38
"POLD3",1.84586107659463e-41,2.53457753810304,0.301,0.398,5.53758322978389e-38
"NAPB",2.10168585089361e-41,4.06721033415382,0.265,0.369,6.30505755268082e-38
"LRRC49",2.14002731574745e-41,3.92011714956282,0.301,0.366,6.42008194724235e-38
"KIAA0319",2.73045363646696e-41,7.23598395002541,0.235,0.299,8.19136090940088e-38
"TATDN1",2.79337667390706e-41,0.751819868155223,0.269,0.383,8.38013002172117e-38
"SGK1",4.07075817866969e-41,4.77235664922716,0.229,0.379,1.22122745360091e-37
"TTI2",4.44192975528113e-41,3.996137220564,0.23,0.351,1.33257892658434e-37
"NDC1",5.66305781427756e-41,5.74777394293131,0.206,0.309,1.69891734428327e-37
"LTA4H",5.8783210373339e-41,3.25320884552965,0.272,0.374,1.76349631120017e-37
"MCM6",5.95053353485271e-41,2.88621274928085,0.281,0.393,1.78516006045581e-37
"HMGB2",6.78788976247761e-41,-0.679748104988615,0.192,0.236,2.03636692874328e-37
"TTC23L",8.06858854717042e-41,4.66085559415739,0.172,0.28,2.42057656415112e-37
"HACD4",8.72323517621857e-41,4.20850895023472,0.25,0.375,2.61697055286557e-37
"PHF19",9.76657729738091e-41,2.95207089108947,0.272,0.33,2.92997318921427e-37
"RAB11FIP1",9.88148163140908e-41,10.5549700519646,0.205,0.241,2.96444448942272e-37
"SMPDL3A",1.0964363622435e-40,0.893197360274212,0.276,0.343,3.2893090867305e-37
"MPP6",1.14375220975503e-40,5.02637795691468,0.14,0.204,3.4312566292651e-37
"ZNF354A",1.51633556474557e-40,2.553090539446,0.305,0.454,4.54900669423671e-37
