"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SYNJ2BP",1.94403509717067e-36,0.840765479184266,0.352,0.409,5.83210529151201e-33
"DGKD",2.02635284477433e-36,0.349908129697159,0.224,0.222,6.07905853432298e-33
"GBE1",2.25076241648535e-36,2.44534232909735,0.246,0.286,6.75228724945605e-33
"SLC12A2",2.29056449255322e-36,0.928955955557496,0.369,0.408,6.87169347765967e-33
"LOC114673210",2.43076150421689e-36,4.50959590701589,0.271,0.32,7.29228451265068e-33
"PLEKHM3",2.53861133332283e-36,0.669454216941726,0.37,0.416,7.6158339999685e-33
"ADGRE5",2.59206549726286e-36,3.36525549982273,0.38,0.412,7.77619649178858e-33
"LOC106997683",2.65310045264884e-36,1.36455646627601,0.291,0.369,7.95930135794653e-33
"AUH",2.65762370951717e-36,0.344268438813942,0.387,0.438,7.9728711285515e-33
"PDE4D",2.79184211904956e-36,4.41243913851595,0.388,0.454,8.37552635714868e-33
"DHRSX",2.83134837165273e-36,0.623971093549184,0.348,0.387,8.49404511495818e-33
"CRADD",3.39065049368606e-36,1.77936004845626,0.366,0.434,1.01719514810582e-32
"PDGFD",3.54380537254169e-36,2.28030040608078,0.134,0.154,1.06314161176251e-32
"IFFO2",3.80152779108565e-36,2.46228216729223,0.31,0.362,1.1404583373257e-32
"SLAIN1",4.16938439320221e-36,2.72582843902052,0.29,0.358,1.25081531796066e-32
"DAPP1",4.7052653952501e-36,3.52873101272039,0.198,0.22,1.41157961857503e-32
"PTGS1",5.25019986853257e-36,5.91339946597811,0.247,0.289,1.57505996055977e-32
"ZNF334",6.05689398316034e-36,1.55507988577504,0.273,0.332,1.8170681949481e-32
"RCBTB2",7.02572996434599e-36,1.06173364566491,0.292,0.362,2.1077189893038e-32
"LOC107000659",7.08709799443569e-36,3.67098894217278,0.249,0.306,2.12612939833071e-32
"ARHGAP39",7.22057624503695e-36,3.67549117683436,0.303,0.403,2.16617287351108e-32
"ZNRF2",7.3075346079591e-36,3.03423148714932,0.331,0.367,2.19226038238773e-32
"LATS2",7.56097396138084e-36,3.58011015336935,0.201,0.246,2.26829218841425e-32
"ARMH2",7.65759669482313e-36,3.20905178924806,0.291,0.376,2.29727900844694e-32
"PHKA2",9.17575295866542e-36,1.21216122816689,0.305,0.366,2.75272588759963e-32
"OPTN",9.59131866568267e-36,0.765821305182447,0.353,0.411,2.8773955997048e-32
"BAZ2B",9.87933918480057e-36,3.33987460737228,0.307,0.339,2.96380175544017e-32
"NKD1",1.07790794027588e-35,3.59342086494089,0.296,0.392,3.23372382082765e-32
