Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Log2(Ratio) (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
APOLD1	APOLD1	1.039035053829185E-5	3.257245074847414E-5	0.9994711595304948E0	-7.631573348090131E-4	-1.000529120289728E0	1.000259310895558E0	1.000788568391942E0	8.597811337071196E-4	7.358714387389152E-4
LSM12	LSM12	1.030508132882078E-5	3.231015719955325E-5	0.9943009965726995E0	-0.008245441763560585E0	-1.005731668224154E0	1.134629754688054E0	1.141133075999179E0	0.1388141989912701E0	0.1576881773765841E0
NNT	NNT	1.028400289382333E-5	3.224907474762361E-5	0.9794125861487513E0	-0.03001135906355923E0	-1.021020164680753E0	1.308820978547168E0	1.336332611053854E0	0.2624699987279358E0	0.2964192451024056E0
NEMP2	NEMP2	1.02010203846259E-5	3.199382138644005E-5	1.000535658924315E0	7.725855710075548E-4	1.000535658924315E0	1.14595422546007E0	1.14534071348551E0	0.1371943388229953E0	0.1504851131844048E0
SNX18	SNX18	1.018797042451334E-5	3.195785473432529E-5	0.987854826764091E0	-0.01762905317484128E0	-1.012294491970741E0	1.112364401218009E0	1.126040356417322E0	0.1075562399342297E0	0.1297191146629283E0
RAB33B	RAB33B	1.017098028854855E-5	3.190951535695924E-5	0.9993726187443805E0	-9.054038726452195E-4	-1.000627775109956E0	1.083953357505685E0	1.084633836443881E0	0.0897432756378279E0	0.1008262927097399E0
LOC106998034	.	1.016582149682144E-5	3.189828531812947E-5	0.9856377970331882E0	-0.02087051362445179E0	-1.014571481542249E0	1.035569967454604E0	1.050659756121076E0	0.0350632727327114E0	0.05430819554458781E0
LOC114679412	.	1.011511905024692E-5	3.174412283668229E-5	1.002135192507862E0	0.003077147658947121E0	1.002135192507862E0	1.028102845073609E0	1.02591232476405E0	0.03134545292293925E0	0.03584945021376011E0
LOC106994999	.	1.011336820211376E-5	3.174356036461442E-5	0.9986632573895534E0	-0.001929802046901911E0	-1.00133853188305E0	1.007840414194449E0	1.009189440721875E0	0.009010999040661341E0	0.0163507516552715E0
SQOR	SQOR	1.00474331844458E-5	3.154150691007713E-5	0.9915210674341844E0	-0.01228466831329821E0	-1.008551439645914E0	1.048951766507269E0	1.057921814230031E0	0.05389564463397251E0	0.07079226261711274E0
ZNF580	.	1.002831604779433E-5	3.148638699414734E-5	0.9908948031063577E0	-0.01319619094941528E0	-1.009188863303247E0	1.017461815893767E0	1.026811133436289E0	0.02147850235383844E0	0.03725502233281615E0
ZNF630	.	9.983252084899693E-6	3.134977077282401E-5	0.9943460876993183E0	-0.008180017641516373E0	-1.005686060789723E0	1.024534756265154E0	1.030360323170462E0	0.0270907817202986E0	0.04006547206892193E0
CLTB	CLTB	9.95024469807594E-6	3.125097844996701E-5	0.9989261835828596E0	-0.001550021988384548E0	-1.001074970738367E0	1.072744858680729E0	1.073898028013545E0	0.08002494822769866E0	0.09103340931002861E0
AKAP1	AKAP1	9.944550753426809E-6	3.123795273992452E-5	0.9936770413536669E0	-0.00915106256280569E0	-1.006363192851592E0	1.084289359509008E0	1.091188901810493E0	0.08969121511969216E0	0.1068848092631064E0
LOC106997042	.	9.90740593775906E-6	3.112611372388513E-5	0.9866932977796913E0	-0.0193263856207839E0	-1.013486158515774E0	1.054963404437233E0	1.069190808137814E0	0.05738369602168828E0	0.07853626854177365E0
KATNA1	KATNA1	9.90218181240453E-6	3.111454079759594E-5	0.9922299630504298E0	-0.01125357094484575E0	-1.007830883201393E0	1.153862266130853E0	1.162898026767418E0	0.1534451698327435E0	0.1746436243453764E0
MLH3	MLH3	9.873878460742184E-6	3.103043366268409E-5	0.9804260235314787E0	-0.02851931659699244E0	-1.019964766334961E0	1.195873805744008E0	1.219749146841788E0	0.1817296459845925E0	0.2130760592735831E0
RRP1	RRP1	9.849616219526075E-6	3.095900224120567E-5	0.9963117039114403E0	-0.005330923542972673E0	-1.003701949976177E0	1.060671551673303E0	1.064598104698751E0	0.06829931466433345E0	0.08120939825359041E0
TCHP	TCHP	9.781257159002804E-6	3.07489232836636E-5	0.9988740015408758E0	-0.00162538765685443E0	-1.001127267760886E0	1.058307700301939E0	1.059500696453586E0	0.0636105892499697E0	0.07427679286785396E0
ZBTB18	ZBTB18	9.775206622486536E-6	3.073468607736349E-5	0.9974418653111121E0	-0.003695336832041631E0	-1.002564695525478E0	1.047352128075339E0	1.050038267391814E0	0.05258234809132367E0	0.06454142390685357E0
CFAP36	CFAP36	9.748767942685534E-6	3.065633113908803E-5	0.9979107652468181E0	-0.003017281621139428E0	-1.002093608793433E0	1.061324672935293E0	1.063546671603237E0	0.06586193142224533E0	0.07750260385485541E0
LIG1	LIG1	9.746484197159533E-6	3.06539221137073E-5	0.9937975789976288E0	-0.008976067561997305E0	-1.00624113112514E0	1.075007048266476E0	1.081716308215157E0	0.07888675272135577E0	0.09470322159746013E0
LOC106998409	.	9.744020979973738E-6	3.065094778905304E-5	1.001740830782144E0	0.002509304432378793E0	1.001740830782144E0	1.022718751473363E0	1.020941465144073E0	0.02576912535888053E0	0.02911620360602036E0
SLC38A6	SLC38A6	9.73297579220933E-6	3.062097274938381E-5	1.000998365389515E0	0.001439618283430546E0	1.000998365389515E0	1.068165018646202E0	1.067099663275225E0	0.06965623285501549E0	0.07784980993836058E0
PSMD3	PSMD3	9.72838474100345E-6	3.061129693079727E-5	1.0059132906485E0	0.00850595072710807E0	1.0059132906485E0	1.083479244107959E0	1.077109979737372E0	0.09382864770941524E0	0.09770334882850024E0
MAML2	MAML2	9.692562375707151E-6	3.050333045567669E-5	0.9005150987294531E0	-0.1511776292172318E0	-1.110475550505384E0	8.145094636663181E0	9.044928450567E0	0.8835108750059267E0	0.9060601168333118E0
EMP3	EMP3	9.682210877159901E-6	3.047550183837863E-5	1.013286920548987E0	0.01904274298655372E0	1.013286920548987E0	1.069079567513825E0	1.055061055100376E0	0.07855732659973905E0	0.07222592210694209E0
ASB7	ASB7	9.650986692255606E-6	3.038195592427973E-5	0.9816088276487924E0	-0.02677987161202375E0	-1.018735744660385E0	1.069906228245911E0	1.089951718148882E0	0.07064106049021465E0	0.09633215704101748E0
SLC4A2	SLC4A2	9.649206454298588E-6	3.03810868221236E-5	1.007070953639885E0	0.01016533265774867E0	1.007070953639885E0	1.046753625025178E0	1.039404047194358E0	0.05378652084227693E0	0.05342347957913959E0
MBIP	MBIP	9.621648009328092E-6	3.029904061309772E-5	0.9822285656352928E0	-0.02586931460510207E0	-1.018092972436831E0	1.088427229081313E0	1.108120112936577E0	0.09636697422076848E0	0.1244598261913327E0
GSKIP	GSKIP	9.61019740230997E-6	3.026770109650036E-5	0.9850128722012793E0	-0.0217855169786436E0	-1.01521515933617E0	1.066795820319833E0	1.083027288705159E0	0.06932584154255478E0	0.09206070612673581E0
AKR1A1	AKR1A1	9.60273180661275E-6	3.024890471459207E-5	0.9975018602240129E0	-0.003608563092774002E0	-1.002504396107518E0	1.074174032242612E0	1.076864189507758E0	0.0807789120418225E0	0.09346550137746368E0
AP3S2	AP3S2	9.565949790624177E-6	3.013774042599081E-5	0.9824001215588668E0	-0.02561735566505638E0	-1.017915183492858E0	1.133641882341049E0	1.153951284678378E0	0.1278888867580802E0	0.1565256656618276E0
CRADD	CRADD	9.553339184398289E-6	3.010270590428653E-5	0.9580735389527628E0	-0.06179169757871074E0	-1.043761213876197E0	1.484770331552058E0	1.54974568358814E0	0.2947767856047276E0	0.3371804652277337E0
ABI3	ABI3	9.48834425107401E-6	2.990257094448321E-5	0.9997169869298713E0	-4.083593410228771E-4	-1.000283093189201E0	1.066807922952167E0	1.067109929009341E0	0.07445244287161382E0	0.08474872221332924E0
SFXN2	SFXN2	9.482978459818256E-6	2.98903244274983E-5	0.9894937014782819E0	-0.01523757091418925E0	-1.010617852853456E0	1.041390295913555E0	1.052447624838582E0	0.04662899066948787E0	0.06621193481977855E0
TARSL2	.	9.449267530770024E-6	2.978871633939331E-5	0.9984898037096888E0	-0.00218039952915611E0	-1.00151248043265E0	1.171238286654983E0	1.173009761645519E0	0.1564464925535999E0	0.1724726049765765E0
CHMP2B	CHMP2B	9.435119156409044E-6	2.97527236396704E-5	0.9944083129340565E0	-0.008089737979456887E0	-1.005623129848387E0	1.067755260502592E0	1.073759386978696E0	0.07488542137433914E0	0.09027844870819789E0
CDH4	CDH4	9.436377247040727E-6	2.97527236396704E-5	1.005754442334925E0	0.008278110243346503E0	1.005754442334925E0	1.023316568978706E0	1.017461644616761E0	0.03186475949087696E0	0.028709732271102E0
SCRN2	.	9.427164673780926E-6	2.973295941302735E-5	1.002291513132659E0	0.003302172590022101E0	1.002291513132659E0	1.054812160327571E0	1.052400570599225E0	0.06125414963053159E0	0.06709810785071198E0
CELF2	CELF2	9.410612565763365E-6	2.96853900676696E-5	0.9600427582590985E0	-0.05882943305916084E0	-1.041620273052586E0	9.303740103787836E0	9.690964307317781E0	0.9704844590292905E0	0.9855468776048066E0
KLF9	KLF9	9.374699918129907E-6	2.957672429653044E-5	1.007095158775975E0	0.01020000768240395E0	1.007095158775975E0	1.142699825217992E0	1.134649308221112E0	0.1412868297287152E0	0.1475710596145324E0
NSUN4	.	9.347364611778104E-6	2.94950898966871E-5	1.000010331097798E0	1.490454657027383E-5	1.000010331097798E0	1.053704422642043E0	1.053693536831065E0	0.05976168039903332E0	0.06888213332449893E0
INSIG1	INSIG1	9.343586657828396E-6	2.94877755179403E-5	0.9944073393545213E0	-0.008091150456642236E0	-1.005624114408799E0	1.066901580876394E0	1.072901957430171E0	0.07364872235285869E0	0.08823985808202639E0
PFKFB3	PFKFB3	9.280352667007123E-6	2.929278999346927E-5	0.9750311442107281E0	-0.03647979307048319E0	-1.025608264861615E0	1.255034825143443E0	1.287174089356267E0	0.2216814224084496E0	0.2572286305599893E0
NOL7	NOL7	9.268471355627933E-6	2.925986002515989E-5	1.005739391940369E0	0.00825652118428963E0	1.005739391940369E0	1.184849401780517E0	1.178087893618835E0	0.1827357318052433E0	0.1917960792429673E0
S100A10	S100A10	9.228599262445221E-6	2.913854117599946E-5	1.005511109438318E0	0.007929021417534326E0	1.005511109438318E0	1.098279714154211E0	1.092260148938298E0	0.1043368266099153E0	0.1098723615893764E0
URM1	URM1	9.223941710545511E-6	2.912838878511542E-5	0.9884876112120131E0	-0.0167052102227063E0	-1.01164646744927E0	1.057433602167711E0	1.069748968195121E0	0.06374266465896544E0	0.08373394922713592E0
QRSL1	QRSL1	9.196204905692607E-6	2.904533959111483E-5	0.9859589318421236E0	-0.02040053962457679E0	-1.014241027394156E0	1.108205230298166E0	1.123987211341189E0	0.1140923808353561E0	0.139575178941758E0
KLC4	KLC4	9.188357582234882E-6	2.90250932821364E-5	0.9929741960177886E0	-0.01017186732593051E0	-1.007075515164833E0	1.055604370564549E0	1.063073315296543E0	0.06104185269740619E0	0.07712785286238091E0
SUGP1	SUGP1	9.165926527665576E-6	2.895876490001397E-5	0.9964148460316679E0	-0.00518157778803586E0	-1.003598053544275E0	1.164821239177006E0	1.169012328365074E0	0.1707088529938616E0	0.1891537161363649E0
WDR41	WDR41	9.139636794386351E-6	2.888022277425149E-5	0.9841877568887378E0	-0.02299452516363556E0	-1.016066287149566E0	1.080862780124191E0	1.098228231918945E0	0.08354561774700671E0	0.1085880085065253E0
HMGA1	HMGA1	9.137007814130637E-6	2.887643308243007E-5	0.9992041831747326E0	-0.001148578076791298E0	-1.000796450654099E0	1.058607150092775E0	1.059450278449899E0	0.06666738342464851E0	0.07725259280619881E0
HDGF	HDGF	9.11282942817056E-6	2.880452719721267E-5	0.998751258356708E0	-0.001802679150789362E0	-1.001250302948651E0	1.088521659139746E0	1.089882640979839E0	0.09813581270488408E0	0.1106750169730321E0
FDPS	FDPS	9.079817728463456E-6	2.870467341986303E-5	0.995537983172015E0	-0.006451734151506981E0	-1.004482015657271E0	1.022068843512639E0	1.026649772072071E0	0.02785713602477546E0	0.03998136890123626E0
LOC714758	.	9.037897056529675E-6	2.857661940322266E-5	0.9930252173048306E0	-0.01009774025689138E0	-1.007023771978419E0	1.067922646604364E0	1.075423491764703E0	0.0731934135033201E0	0.08963201536632885E0
SLC2A13	SLC2A13	8.958373072243125E-6	2.832961003807212E-5	0.9790825255834265E0	-0.03049762705824828E0	-1.021364362931622E0	1.108630563764134E0	1.13231574948548E0	0.09275873698661044E0	0.1214268643210044E0
SORBS3	SORBS3	8.932012034779135E-6	2.825067007179282E-5	0.9989978407744238E0	-0.001446535095291801E0	-1.001003164556191E0	1.046167548298478E0	1.047217026502769E0	0.05065513961752148E0	0.06010382253649241E0
POLR2D	POLR2D	8.921305750475529E-6	2.822122686736175E-5	0.9956170450328423E0	-0.006337165317856935E0	-1.004402249829916E0	1.07691023447799E0	1.081651062374556E0	0.08708557499211828E0	0.1019994162602483E0
LOC106996046	.	8.88577156921144E-6	2.811322276862981E-5	1.000260025842503E0	3.750892291480813E-4	1.000260025842503E0	1.000296933223976E0	1.000036897787095E0	6.413077103851868E-4	1.418701357240006E-4
EXOSC7	EXOSC7	8.861473115406846E-6	2.804073852185296E-5	0.991716086808528E0	-0.01200093675396592E0	-1.008353109626497E0	1.097374097219228E0	1.106540583354578E0	0.1006983569403274E0	0.1198673368531027E0
ZNF558	ZNF558	8.852720576046937E-6	2.801743187010279E-5	0.9932315748959694E0	-0.00979796927498635E0	-1.006814548867659E0	1.032851522151845E0	1.039889939322584E0	0.0353231145027098E0	0.04957473209292689E0
ING5	ING5	8.809555422595322E-6	2.788519047572172E-5	0.9948612360679546E0	-0.007432783298983653E0	-1.005165307226519E0	1.093028448671249E0	1.098674276415961E0	0.1002049719596417E0	0.1171144482182599E0
POGK	POGK	8.805744540318907E-6	2.787749658704722E-5	0.9964093621552921E0	-0.005189517837358526E0	-1.003603576984605E0	1.066811246681145E0	1.070655583136603E0	0.0732337380056236E0	0.08748320633793324E0
LOC100427042	.	8.763396029953794E-6	2.774777755337933E-5	0.9950280106966258E0	-0.007190955839807607E0	-1.004996833506117E0	1.067091495721891E0	1.072423574261807E0	0.07544056353980008E0	0.09092449528272875E0
ZDHHC21	ZDHHC21	8.728274843106107E-6	2.764090550032254E-5	0.9964398968389667E0	-0.005145307532422366E0	-1.003572822778702E0	1.081681445401085E0	1.085546101508513E0	0.08546269669630799E0	0.1001584170436774E0
AEN	AEN	8.659718926384856E-6	2.742866629199082E-5	0.9877883368101119E0	-0.01772616051555883E0	-1.012362631481683E0	1.062525642006281E0	1.075661254958243E0	0.07174659214392615E0	0.09388627718942132E0
LOC114678927	.	8.659897264284852E-6	2.742866629199082E-5	0.9976635665224461E0	-0.003374704915187754E0	-1.002341905183225E0	1.007358399697457E0	1.009717537555074E0	0.00816127690764299E0	0.01500094156935895E0
SH3BP2	SH3BP2	8.626891013996414E-6	2.733269720795287E-5	0.9898892964413425E0	-0.01466090343790307E0	-1.010213974022151E0	1.093027147935779E0	1.104191298830301E0	0.1031311540324927E0	0.1249895990347964E0
PSKH1	PSKH1	8.608875154636503E-6	2.727989651291937E-5	0.9935256396547449E0	-0.009370895680712518E0	-1.006516550843625E0	1.073587090736546E0	1.08058317559839E0	0.08232074723765283E0	0.0996117470270277E0
PRMT1	PRMT1	8.586556038636698E-6	2.721344090199027E-5	0.9984611746788459E0	-0.002221765552931664E0	-1.001541196954052E0	1.069721083583598E0	1.071369734459302E0	0.07890694199982386E0	0.09062932795801736E0
LOC696260	.	8.561357638048342E-6	2.713783766059329E-5	1.000011332752566E0	1.634961328392186E-5	1.000011332752566E0	1.000595454613008E0	1.000584115240809E0	0.001348552393930747E0	0.001056379838090507E0
LOC710642	.	8.513383038533103E-6	2.699000323533066E-5	0.9981666414429564E0	-0.00264740486181625E0	-1.001836725934252E0	1.144063603182652E0	1.146164934473052E0	0.1525027821222228E0	0.1676536998397128E0
REEP3	REEP3	8.496874440933055E-6	2.694339725050002E-5	0.9943458243850355E0	-0.008180399683810319E0	-1.005686327107032E0	1.257407886992932E0	1.264557919545335E0	0.2093919067160172E0	0.2310142380071361E0
PTOV1	PTOV1	8.497348276348408E-6	2.694339725050002E-5	1.001401627630737E0	0.002020705424343405E0	1.001401627630737E0	1.050631551264187E0	1.049161018191997E0	0.05839084964193992E0	0.06512225635003095E0
LARP1B	LARP1B	8.474640209810147E-6	2.687983400718363E-5	0.9905791782665367E0	-0.01365579869528808E0	-1.009510417683066E0	1.081964277772975E0	1.092254209972753E0	0.08008995841153808E0	0.09941820540516118E0
ZYX	ZYX	8.445675131807398E-6	2.679216998778794E-5	0.9956746503614267E0	-0.006253694953276182E0	-1.004344139561054E0	1.065199235452E0	1.069826609591131E0	0.07542245437845138E0	0.09051609178477288E0
TRABD	TRABD	8.403656432287588E-6	2.666306198858698E-5	0.9988650957829576E0	-0.001638250490445951E0	-1.00113619368805E0	1.053844623680087E0	1.055041995289698E0	0.06140831303790009E0	0.0720403784215694E0
C1D	C1D	8.393219577906853E-6	2.663413182004126E-5	0.9910406084255312E0	-0.01298392105397628E0	-1.009040387950099E0	1.08057875110025E0	1.09034760222083E0	0.08755702180365715E0	0.1071825543901364E0
UBE2E2	UBE2E2	8.356892058247716E-6	2.652302102333239E-5	0.939149435210361E0	-0.09057336056105525E0	-1.064793271984462E0	1.586201089394004E0	1.68897624800116E0	0.3153104004086201E0	0.3626434686622615E0
THUMPD3	THUMPD3	8.312068852989199E-6	2.638490754246045E-5	0.9916194020561085E0	-0.01214159537046192E0	-1.008451425946804E0	1.077433714130708E0	1.086539565378274E0	0.08254124466166646E0	0.1018242201183342E0
TRIOBP	TRIOBP	8.251855268981425E-6	2.619788945659962E-5	0.9994506026012654E0	-7.9283071214481E-4	-1.000549699402156E0	1.114654514300578E0	1.115267239220699E0	0.1213120116171747E0	0.1346609491771541E0
TBC1D31	TBC1D31	8.14941573745731E-6	2.58767330710836E-5	0.9926416400121993E0	-0.01065511982206961E0	-1.007412906824773E0	1.0991505971252E0	1.107298498088083E0	0.1021676283049237E0	0.1211492251033128E0
TSR2	TSR2	8.089513065745473E-6	2.569056366382501E-5	1.003298548763695E0	0.004750968593345754E0	1.003298548763695E0	1.049907632171576E0	1.046455846532734E0	0.05505746474166288E0	0.05957124388623708E0
ZNF487	ZNF487	8.082287766275623E-6	2.567165408133905E-5	0.993458324250451E0	-0.00946864745098508E0	-1.006584751055848E0	1.068615009529255E0	1.075651573341548E0	0.07521689635969772E0	0.09218821416990948E0
KCTD9	KCTD9	8.078989432891409E-6	2.566521367812845E-5	0.9915983721151127E0	-0.0121721919009904E0	-1.008472813309451E0	1.115867640652275E0	1.12532217884958E0	0.1203174469071092E0	0.1405720897286325E0
ECE1	ECE1	8.020998341518037E-6	2.548499677552011E-5	0.9812248567875423E0	-0.02734431359081173E0	-1.01913439420392E0	1.206894573836239E0	1.229987770374593E0	0.1933754839702874E0	0.2249125014945708E0
SLC23A1	SLC23A1	7.997361145761776E-6	2.541389245155701E-5	1.000114572932342E0	1.652843329346621E-4	1.000114572932342E0	1.01007098133907E0	1.009955267802504E0	0.01216232310875703E0	0.01666277937967231E0
CCNQ	CCNQ	7.982628068892156E-6	2.537106557600059E-5	1.003477086671035E0	0.005007674674147104E0	1.003477086671035E0	1.047466111057096E0	1.043836600725973E0	0.0530553703503959E0	0.05731317817386707E0
CEP68	CEP68	7.975157664819039E-6	2.535131169562715E-5	0.9901771483861482E0	-0.01424144016454492E0	-1.009920297221423E0	1.056251047052922E0	1.066729371380127E0	0.06095304447165958E0	0.07968881838409486E0
CCDC125	.	7.937489756248977E-6	2.523554511202847E-5	0.9885216312071164E0	-0.01665555898468636E0	-1.011611651612385E0	1.021937093588737E0	1.033803471089263E0	0.02546505219698612E0	0.04289009468231366E0
FCRLA	FCRLA	7.915456502471954E-6	2.516945693276583E-5	0.9989357928294412E0	-0.001536143940197205E0	-1.001065340913998E0	1.003223290813964E0	1.004292065631545E0	0.004954871444968784E0	0.01010995248578823E0
BLZF1	BLZF1	7.86929488749699E-6	2.502661283855522E-5	0.9943529047893299E0	-0.008170126771163225E0	-1.005679166001799E0	1.068853643789551E0	1.07492384106426E0	0.07430758267982436E0	0.08957605055100233E0
LOC106998893	.	7.847563865626128E-6	2.496143227683725E-5	1.000452031456181E0	6.519961898639119E-4	1.000452031456181E0	1.073441165867481E0	1.072956155933896E0	0.08252250402805002E0	0.09250602907407203E0
FAM222A	FAM222A	7.840339612652515E-6	2.494238139807143E-5	1.014682104437798E0	0.0210278080149389E0	1.014682104437798E0	1.030620122457767E0	1.015707400327909E0	0.03422521777511954E0	0.02392877016684026E0
RARA	RARA	7.77838639365315E-6	2.474918846550194E-5	1.001572907704873E0	0.002267443373131526E0	1.001572907704873E0	1.108419396056999E0	1.106678692614567E0	0.1163907286949936E0	0.1269573313018866E0
LIX1L	LIX1L	7.766787537888396E-6	2.47161768851851E-5	0.9918750319190658E0	-0.0117697305128487E0	-1.008191523951575E0	1.075197227382849E0	1.084004731223623E0	0.0825668262460728E0	0.101427689820279E0
SLC25A12	SLC25A12	7.74253358970522E-6	2.464287637013331E-5	0.9783790236266963E0	-0.03153462196457275E0	-1.022098773431546E0	1.20221538022054E0	1.228782865523954E0	0.1826301070542971E0	0.2160582707865953E0
GCNA	GCNA	7.719230030289752E-6	2.457257811690976E-5	0.9982150101853503E0	-0.00257749704159316E0	-1.001788181700772E0	1.060580377379007E0	1.062476887802034E0	0.06330621684324865E0	0.07405976735139226E0
GSTO2	GSTO2	7.701581516750251E-6	2.45202622123773E-5	0.9923716804082704E0	-0.01104752966660135E0	-1.007686958165303E0	1.019042775033597E0	1.026876114213934E0	0.01954456759555564E0	0.03356458585556545E0
LOC106997979	.	7.634763760422325E-6	2.431136030790006E-5	0.9992332153937705E0	-0.001106660688270661E0	-1.000767373016045E0	1.000292823324479E0	1.001060421045243E0	8.242554045312252E-4	0.001526204782004354E0
SSBP1	SSBP1	7.63299094141966E-6	2.430954762453395E-5	0.9975885201982048E0	-0.003483231512495052E0	-1.00241730909385E0	1.044054247995835E0	1.046578049823988E0	0.05070484836789155E0	0.06168974790266963E0
UNC80	UNC80	7.614354156415544E-6	2.425401754475338E-5	0.9995674204543412E0	-6.242153864520295E-4	-1.000432766751704E0	1.000115810075389E0	1.000548626945843E0	5.538062211646964E-4	9.319301743576624E-4
GLRA2	GLRA2	7.51000080845278E-6	2.392539374276487E-5	0.9987477460610333E0	-0.001807752666761815E0	-1.001253824045066E0	1.001560217446191E0	1.002815997729407E0	0.001202676283871467E0	0.00459730095933539E0
EEF1AKNMT	.	7.508580796899997E-6	2.392464346675913E-5	0.989687014250431E0	-0.0149557458373879E0	-1.010420451719658E0	1.029869180627933E0	1.04060088270223E0	0.03484871950509588E0	0.05288206279288181E0
TMEM154	TMEM154	7.484243846889171E-6	2.385086103178723E-5	1.007044484054205E0	0.01012741274582925E0	1.007044484054205E0	1.253350126149632E0	1.244582683283105E0	0.2187984619751063E0	0.2295830411312944E0
PPA2	PPA2	7.466565304481443E-6	2.379827773708635E-5	0.9835364245939869E0	-0.02394961217712007E0	-1.016739161859521E0	1.262121776812755E0	1.28324863752125E0	0.2271570124077174E0	0.2574718167589808E0
TMEM273	TMEM273	7.442935384460724E-6	2.372670594939042E-5	0.9893931103914184E0	-0.01538424151852099E0	-1.010720601848931E0	1.019802308086839E0	1.030735202596458E0	0.02327640025647115E0	0.04082987943819551E0
LOC106998315	.	7.426411276267852E-6	2.367776715991445E-5	0.9913995577909754E0	-0.01246147958619254E0	-1.008675051488007E0	1.046907284039284E0	1.055989258631495E0	0.05439840500778738E0	0.07230245794838921E0
ATP13A2	ATP13A2	7.42039899126468E-6	2.366233325316767E-5	1.000368481033396E0	5.315078402756524E-4	1.000368481033396E0	1.152937818232096E0	1.152513138999635E0	0.1552917922404001E0	0.1693889793453727E0
ATXN7L1	ATXN7L1	7.404023125268116E-6	2.361384163653331E-5	0.973082620369133E0	-0.03936579148789748E0	-1.027661967306184E0	2.177882137186125E0	2.23812664166169E0	0.5569466768834572E0	0.596390051412613E0
LOC106997002	.	7.39267159211023E-6	2.358136146832635E-5	1.000055955937473E0	8.072509499792651E-5	1.000055955937473E0	1.000193886082505E0	1.000137922427453E0	5.843594477872554E-4	7.454697846891731E-4
GPRASP2	GPRASP2	7.340472761852004E-6	2.341855454807878E-5	1.005001661273018E0	0.007197886188645038E0	1.005001661273018E0	1.038385745965641E0	1.033217939809509E0	0.04550427921944291E0	0.04670454318553887E0
TTC32	TTC32	7.317161987541172E-6	2.335515103873116E-5	0.9883787093755468E0	-0.01686416091950995E0	-1.011757932980766E0	1.060192639654681E0	1.072658313658442E0	0.06810831490409155E0	0.09002095261984853E0
DKC1	DKC1	7.318963073377163E-6	2.335515103873116E-5	0.9936126832358991E0	-0.009244505543190529E0	-1.006428376843278E0	1.075430057855425E0	1.082343327535908E0	0.08359026202711826E0	0.1013972333262343E0
TIMELESS	TIMELESS	7.319442819841975E-6	2.335515103873116E-5	1.000972767212709E0	0.001402724282179342E0	1.000972767212709E0	1.037145801829356E0	1.036137880871E0	0.04267201168549786E0	0.049516495242854E0
GTF2A1	GTF2A1	7.304880861314079E-6	2.331973820717904E-5	0.9954528011708889E0	-0.006575181885810048E0	-1.004567970298303E0	1.177333499326492E0	1.182711523782613E0	0.1744284685272834E0	0.1934209423029163E0
LAMP2	LAMP2	7.261098157740346E-6	2.318363272052474E-5	0.9923846449550255E0	-0.01102868212640483E0	-1.007673793708607E0	1.109378340997669E0	1.117891481531282E0	0.1152111254255268E0	0.1346949829586969E0
PPP2R5D	PPP2R5D	7.256294824231598E-6	2.317195934542764E-5	0.9944811607454429E0	-0.00798405369919437E0	-1.005549465864612E0	1.096739470593445E0	1.102825788847876E0	0.1035879547233163E0	0.1206910978160206E0
SPHK2	SPHK2	7.251426852317154E-6	2.316007583224255E-5	1.000557125890429E0	8.035389438758523E-4	1.000557125890429E0	1.043883879718101E0	1.043302628812037E0	0.0499269143193069E0	0.05754824178811534E0
MX2	MX2	7.228470141007479E-6	2.309040643809411E-5	0.9936197104494979E0	-0.009234302281365177E0	-1.006421259042472E0	1.04877846903682E0	1.055512947264673E0	0.04895899648433691E0	0.06343678403856612E0
BCL6	BCL6	7.209785886197481E-6	2.303436496827218E-5	1.019640904604832E0	0.02806115576465518E0	1.019640904604832E0	1.143469518100281E0	1.121443356122948E0	0.1363864622876333E0	0.1302003964294561E0
MSRB3	MSRB3	7.196906040674034E-6	2.299685306273282E-5	1.004055763226334E0	0.005839395878384996E0	1.004055763226334E0	1.029696455249099E0	1.025537119512539E0	0.03617507551087801E0	0.03815347855358977E0
NOP2	NOP2	7.178618522063457E-6	2.294204697921483E-5	0.9908789287583368E0	-0.01321930341962244E0	-1.00920503098506E0	1.096777181503041E0	1.106873049442483E0	0.1029693119107402E0	0.1245641489346736E0
DYNLRB1	DYNLRB1	7.172888319528777E-6	2.292736165181868E-5	1.008976663890752E0	0.01289280746863569E0	1.008976663890752E0	1.155227054775174E0	1.144949230362238E0	0.1591577347234231E0	0.1642064494726617E0
CAPN3	CAPN3	7.170843812631669E-6	2.292445446779589E-5	0.9925482742955319E0	-0.01079082296619061E0	-1.007507670808009E0	1.071240088901954E0	1.079282606845771E0	0.07740605298143488E0	0.0963569170301863E0
FRA10AC1	FRA10AC1	7.165639050343851E-6	2.291144175064827E-5	0.9933522533474972E0	-0.00962269129144463E0	-1.006692234934889E0	1.087425038585175E0	1.094702342417468E0	0.09189169410321243E0	0.1100554766397692E0
DPYSL4	DPYSL4	7.117734973971478E-6	2.276187634646547E-5	0.9947987196789654E0	-0.007523444101738652E0	-1.005228475085606E0	1.023251276862673E0	1.028601320670064E0	0.02921229101357494E0	0.04347928615364009E0
