Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Log2(Ratio) (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
LOC114676739	.	0.02687220099441879E0	0.04826291265207814E0	1.000284685762735E0	4.106562868840892E-4	1.000284685762735E0	1.000565027709065E0	1.000280262159683E0	5.540475085254718E-4	5.626456505898095E-4
LOC106999404	.	0.02685541466950113E0	0.04823705340103013E0	0.9917941033168466E0	-0.01188744701211621E0	-1.008273790553614E0	1.014492461902711E0	1.022886160050715E0	0.01576652598668874E0	0.02335711240157919E0
RYR1	RYR1	0.02682712059402337E0	0.04819051776574921E0	1.000065913707003E0	9.509024437954775E-5	1.000065913707003E0	1.013587638318191E0	1.013520833402936E0	0.01445351635951742E0	0.01709179903120042E0
LOC720588	.	0.02675206714263889E0	0.04805997083936853E0	0.9972122484387427E0	-0.00402749178788242E0	-1.002795544845766E0	1.002819833492074E0	1.005623261308824E0	0.003969312858233955E0	0.00825329474052066E0
LOC114677359	.	0.02671773389272081E0	0.04800256085795899E0	1.000911130824802E0	0.001313885452628606E0	1.000911130824802E0	1.006037284169605E0	1.005121487000128E0	0.006912137302955285E0	0.007618180740056515E0
RABAC1	RABAC1	0.02671460784284518E0	0.04800121423447975E0	1.001562573402972E0	0.002252557464270927E0	1.001562573402972E0	1.01221311399242E0	1.010633924302164E0	0.01481813760828187E0	0.01516977718158768E0
PAM16	.	0.0266679253337011E0	0.04792159749911876E0	0.9993037593338531E0	-0.001004812792683946E0	-1.000696725754951E0	1.032220670903592E0	1.032939845629803E0	0.03785058942056885E0	0.04274220397921012E0
DMAC2_1	.	0.02663500801014421E0	0.04786670449229404E0	0.9996494288189933E0	-5.058559787625885E-4	-1.00035069412426E0	1.00745438579446E0	1.007807694128019E0	0.009587998405177834E0	0.01213889418576071E0
LOC708891	.	0.02650139527804807E0	0.04763082237284347E0	1.001390311244511E0	0.002004402089012241E0	1.001390311244511E0	1.03775000974742E0	1.036309217389693E0	0.03414149668279721E0	0.04039407797289113E0
BOLA2B	BOLA2B	0.02647974900974191E0	0.04759615293216757E0	1.003999151714684E0	0.005758050346916702E0	1.003999151714684E0	1.012864184403879E0	1.008829721294141E0	0.01612496079163254E0	0.01353800878554632E0
ACOT12	ACOT12	0.02646091525000271E0	0.04756653312740787E0	1.000890881943557E0	0.001284698789441012E0	1.000890881943557E0	1.003245201920042E0	1.00235222442222E0	0.003621567582911169E0	0.003809534248284128E0
ICMT	ICMT	0.02644990155787739E0	0.04755096677045016E0	1.003321001042085E0	0.004783253528170371E0	1.003321001042085E0	1.026722185438496E0	1.02332372627714E0	0.03061895145881434E0	0.03027330164915954E0
LOC713582	.	0.02644506550167126E0	0.04755005341246657E0	0.9995747360166704E0	-6.136567321217785E-4	-1.000425444909727E0	1.000470339315114E0	1.000895984328308E0	5.917185019893184E-4	8.700224595343856E-4
LOC106997752	.	0.02644703931258785E0	0.04755005341246657E0	1.000136055510157E0	1.962732580621766E-4	1.000136055510157E0	1.00894510944161E0	1.00880785557417E0	0.0109407548005111E0	0.0133415410564004E0
