Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
IFRD1	IFRD1	0.0E0	0.0E0	1.124379015735565E0	1.124379015735565E0	1.648034965788351E0	1.465729031513641E0	0.4255399868423095E0	0.3798989166095004E0
VSIG2	VSIG2	0.0E0	0.0E0	0.9992768455403782E0	-1.000723677790443E0	1.000102371820825E0	1.000826123695481E0	2.894492284671629E-4	0.00126070462933864E0
ARIH1	ARIH1	0.0E0	0.0E0	0.9964299280008178E0	-1.003582863078335E0	2.963497050864216E0	2.974114855030512E0	0.7533189595874242E0	0.7986809398837519E0
IBTK	IBTK	0.0E0	0.0E0	0.9964205423469296E0	-1.003592316196773E0	1.286571981103064E0	1.291193754469095E0	0.2446582493783579E0	0.2800068651643343E0
MLLT6	MLLT6	0.0E0	0.0E0	0.9449771939118352E0	-1.05822659683499E0	2.059517132396279E0	2.179435806139072E0	0.5996580628045269E0	0.6724840424650604E0
ARID4B	ARID4B	0.0E0	0.0E0	1.044759373436922E0	1.044759373436922E0	3.637476418796183E0	3.481640376989445E0	0.8363962220805322E0	0.857891026389045E0
THBS1	THBS1	0.0E0	0.0E0	1.000067720781375E0	1.000067720781375E0	1.000154668816184E0	1.000086942147019E0	3.791365435497654E-4	3.894315437145711E-4
MOB2	MOB2	0.0E0	0.0E0	1.002494591165879E0	1.002494591165879E0	1.941070415008458E0	1.936240287093256E0	0.5636345281598849E0	0.604764094925025E0
MOB3A	MOB3A	0.0E0	0.0E0	1.023544987078224E0	1.023544987078224E0	1.600202638730747E0	1.563392580621815E0	0.4305914030090574E0	0.4548609856935502E0
BTG1	BTG1	0.0E0	0.0E0	1.055175719660215E0	1.055175719660215E0	1.661264875524932E0	1.574396420019869E0	0.4751969906885171E0	0.4655527428152225E0
BTG2	BTG2	0.0E0	0.0E0	1.060094500936311E0	1.060094500936311E0	1.32418587612856E0	1.249120597228826E0	0.2749843043643804E0	0.2555551857305297E0
IL2RG	IL2RG	0.0E0	0.0E0	1.008148836882449E0	1.008148836882449E0	1.664570558690951E0	1.651115884672733E0	0.4692399900208395E0	0.5017948521142344E0
KLF6	KLF6	0.0E0	0.0E0	1.102895514708608E0	1.102895514708608E0	1.880219326398344E0	1.704802768098219E0	0.4959504736797684E0	0.462024368017254E0
NUFIP2	NUFIP2	0.0E0	0.0E0	1.053416794001734E0	1.053416794001734E0	2.236710137945793E0	2.123290753177522E0	0.6271724559304143E0	0.6444262875806269E0
GNL3	GNL3	0.0E0	0.0E0	1.014913214327876E0	1.014913214327876E0	1.2891623366975E0	1.270219284267813E0	0.2500121253110094E0	0.2694835953754213E0
POU5F1	POU5F1	0.0E0	0.0E0	0.9999850407971498E0	-1.000014959426631E0	1.000141382415269E0	1.0001563439569E0	2.836832391954806E-4	1.929702422673375E-4
EWSR1	EWSR1	0.0E0	0.0E0	0.9963796553474001E0	-1.003633499171897E0	2.017387242678806E0	2.024717417554475E0	0.5960144205814621E0	0.6433044691485441E0
ETS1	ETS1	0.0E0	0.0E0	0.8892948959270969E0	-1.124486381941383E0	5.627145252748811E0	6.32764820592214E0	0.9114817343507533E0	0.9585904697382188E0
