Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
LYSMD3	LYSMD3	0.0E0	0.0E0	1.000892661824501E0	1.000892661824501E0	1.100284789165774E0	1.099303482913037E0	0.1074404813008231E0	0.1176060597965746E0
ING5	ING5	0.0E0	0.0E0	0.9900504045606601E0	-1.010049584741855E0	1.093503917648582E0	1.104493177934541E0	0.103609285724784E0	0.1261926442299879E0
ING4	ING4	0.0E0	0.0E0	0.9955200863577762E0	-1.004500073583261E0	1.066421806609499E0	1.071220783210036E0	0.07139779413418909E0	0.08766478093486435E0
ING3	ING3	0.0E0	0.0E0	1.008132758844982E0	1.008132758844982E0	1.137771160302885E0	1.128592588942779E0	0.1408457689837282E0	0.1473062139755509E0
LYST	LYST	0.0E0	0.0E0	0.9695877970109145E0	-1.03136611566569E0	2.798589290918405E0	2.886370166318112E0	0.6449882957425861E0	0.7028248901446075E0
RBM12	.	0.0E0	0.0E0	0.9875941875405555E0	-1.012561649932691E0	1.318439010259894E0	1.335000779564382E0	0.2857552340763868E0	0.3295119129467408E0
INF2	INF2	0.0E0	0.0E0	0.9850869397244478E0	-1.015138826507764E0	1.120968748599174E0	1.137938900004842E0	0.12135430645052E0	0.1546208146051257E0
LZIC	LZIC	0.0E0	0.0E0	1.002002670214194E0	1.002002670214194E0	1.060145923130861E0	1.058027043884262E0	0.06870910069350927E0	0.07579069238198563E0
TTLL4	TTLL4	0.0E0	0.0E0	0.9963770164295312E0	-1.003636157308658E0	1.111758366812899E0	1.115800895123847E0	0.1189654764010855E0	0.1379363011816284E0
IMPG2	IMPG2	0.0E0	0.0E0	0.9973217176567212E0	-1.002685474803027E0	1.1058923003244E0	1.108862146231782E0	0.1054822737107459E0	0.1202258597880163E0
IMPDH2	IMPDH2	0.0E0	0.0E0	1.003933694403999E0	1.003933694403999E0	1.107638752972479E0	1.103298712999215E0	0.1166013599694663E0	0.1273263486905735E0
RBM12B	RBM12B	0.0E0	0.0E0	0.9823603879660688E0	-1.017956355172722E0	1.096776926844359E0	1.116471042888023E0	0.1082986927284312E0	0.1426707065774636E0
IP6K2	IP6K2	0.0E0	0.0E0	0.9983226386015307E0	-1.001680179666985E0	1.125193376964287E0	1.127083903997689E0	0.1345398005338079E0	0.1504393477270331E0
LYRM4	.	0.0E0	0.0E0	0.9760511654537859E0	-1.024536454023985E0	1.202045156829671E0	1.231539082554977E0	0.1711065301773073E0	0.2099492551465977E0
INPP5K	INPP5K	0.0E0	0.0E0	1.001802538186364E0	1.001802538186364E0	1.138830756545941E0	1.136781664186685E0	0.1459740215829023E0	0.16003986473833E0
INVS	INVS	0.0E0	0.0E0	0.9927504982690009E0	-1.007302440788133E0	1.452923785175736E0	1.463533675086652E0	0.3070365210563958E0	0.3401056828518562E0
LYAR	LYAR	0.0E0	0.0E0	0.9925655798690982E0	-1.007490104716186E0	1.130880337869891E0	1.139350750022012E0	0.1304492457871358E0	0.1572388767456755E0
INTS14	INTS14	0.0E0	0.0E0	0.995867829525986E0	-1.00414931615572E0	1.03550176370907E0	1.039798387906504E0	0.0414666855328234E0	0.05318924140172726E0
INTS13	INTS13	0.0E0	0.0E0	0.9980031861373266E0	-1.002000809106033E0	1.122074827364454E0	1.124319884896695E0	0.1260365378913761E0	0.1451742817363516E0
RBM18	RBM18	0.0E0	0.0E0	0.9994895356747175E0	-1.000510725032191E0	1.089090322857535E0	1.089646548547736E0	0.09534429935772021E0	0.1065181200077858E0
INTS11	INTS11	0.0E0	0.0E0	1.002320016894153E0	1.002320016894153E0	1.052991987163314E0	1.050554682551563E0	0.06188769169423423E0	0.0697010213202135E0
INTS10	INTS10	0.0E0	0.0E0	0.9950058164617835E0	-1.005019250596922E0	1.181151173585584E0	1.187079667318659E0	0.1759039724537962E0	0.1999899609523622E0
INTS9	INTS9	0.0E0	0.0E0	0.9957870797143055E0	-1.004230744073224E0	1.265974399059431E0	1.271330412745105E0	0.2180969598380185E0	0.2424598235015083E0
INTS8	INTS8	0.0E0	0.0E0	0.9765628781427489E0	-1.023999603488742E0	1.344655294464736E0	1.376926488360928E0	0.3000275106563819E0	0.35264471576888E0
INTS7	INTS7	0.0E0	0.0E0	0.9911793191055173E0	-1.008899177701208E0	1.207600932322183E0	1.218347587611063E0	0.1882172931882585E0	0.2152812017542624E0
INTS6L	INTS6L	0.0E0	0.0E0	0.9696151244686005E0	-1.031337047829212E0	1.676183685845163E0	1.728710334179037E0	0.4530416019403742E0	0.5110484505054138E0
LYRM1	LYRM1	0.0E0	0.0E0	0.9987521287609468E0	-1.001249430367274E0	1.08098939303664E0	1.082340014011001E0	0.08438642839335252E0	0.09602010051746952E0
INTS6	INTS6	0.0E0	0.0E0	0.9685846169898205E0	-1.03243431958254E0	2.026552251994514E0	2.092282095386419E0	0.5533664513030587E0	0.6048076880531786E0
INTS4	INTS4	0.0E0	0.0E0	0.9760839709025623E0	-1.024502020123661E0	1.288048414841249E0	1.319608203021939E0	0.247140612515867E0	0.2902191321646541E0
INTS3	INTS3	0.0E0	0.0E0	0.9984488742633062E0	-1.001553535465537E0	1.179571125591967E0	1.181403631169697E0	0.1779974867054975E0	0.2010795860677305E0
INTS2	INTS2	0.0E0	0.0E0	0.9908705998692556E0	-1.009213513986538E0	1.179413921795661E0	1.190280468460042E0	0.1745622559677857E0	0.2071605693063646E0
INTS1	INTS1	0.0E0	0.0E0	0.987506929012874E0	-1.012651122356796E0	1.1745367267351E0	1.189395934577577E0	0.1786336643028304E0	0.2146951783991843E0
INSYN2B	INSYN2B	0.0E0	0.0E0	0.9969668197991054E0	-1.003042408373737E0	1.069529824253004E0	1.072783770746272E0	0.08003122574555782E0	0.09567380370137729E0
LYPLA1	LYPLA1	0.0E0	0.0E0	0.9839542510314508E0	-1.016307413634047E0	1.187182121216919E0	1.206541991126549E0	0.1834775315012755E0	0.2200732580605678E0
